,winner,gameDuration,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
10366,red,2084,red,red,red,red,red,nobody,3,0,0,2,0,9,1,1,2,0
10367,red,2279,red,red,red,red,blue,nobody,0,0,0,2,0,10,2,1,2,0
10368,red,2022,blue,red,red,red,blue,nobody,2,0,0,1,0,9,3,1,1,0
10369,red,2065,red,red,red,nobody,blue,blue,0,0,0,1,1,7,2,0,2,0
10370,red,1453,red,red,red,nobody,red,nobody,0,0,0,0,0,8,1,0,2,0
10371,blue,2160,blue,blue,blue,blue,red,nobody,5,1,1,1,0,5,0,0,3,0
10372,blue,1480,blue,blue,blue,blue,blue,blue,9,1,1,2,1,1,0,0,0,0
10373,blue,2360,red,red,blue,nobody,blue,nobody,11,3,0,3,0,2,0,0,0,0
10374,blue,1619,red,blue,blue,nobody,blue,blue,9,1,0,3,1,0,0,0,0,0
10375,red,1775,blue,blue,red,nobody,blue,nobody,1,0,0,1,0,7,1,0,2,0
10376,blue,210,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10377,blue,1461,blue,blue,blue,nobody,blue,blue,11,3,0,3,1,1,0,0,0,0
10378,red,1878,blue,red,red,red,red,red,1,0,0,0,0,11,4,1,2,1
10379,blue,2276,red,red,red,blue,red,nobody,10,2,1,0,0,9,1,0,4,0
10380,blue,1672,blue,blue,blue,nobody,blue,blue,9,3,0,4,1,0,0,0,0,0
10381,blue,1850,red,red,blue,red,blue,nobody,8,1,1,2,0,6,0,1,0,0
10382,red,1921,red,red,red,red,red,nobody,2,0,0,0,0,9,1,1,3,0
10383,blue,1523,red,red,blue,nobody,blue,nobody,11,2,0,2,0,2,0,0,0,0
10384,blue,1637,blue,blue,blue,nobody,red,red,11,3,0,0,0,3,0,0,2,1
10385,red,1418,blue,red,nobody,nobody,red,nobody,2,0,0,0,0,3,0,0,2,0
10386,blue,2022,red,red,blue,blue,blue,nobody,8,1,1,2,0,5,0,0,2,0
10387,blue,1999,blue,blue,blue,blue,blue,nobody,11,3,1,2,0,3,0,0,0,0
10388,red,914,red,red,red,nobody,red,red,0,0,0,0,0,7,1,0,1,1
10389,blue,2125,blue,red,red,red,red,red,10,2,1,2,0,7,1,1,2,1
10390,red,195,red,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10391,red,1350,blue,red,nobody,nobody,red,red,0,0,0,1,0,2,0,0,1,1
10392,blue,1978,blue,red,blue,blue,blue,nobody,9,1,1,2,0,4,0,0,0,0
10393,blue,1944,blue,blue,blue,blue,blue,nobody,11,2,1,2,0,0,0,0,0,0
10394,red,2958,red,blue,red,blue,blue,blue,7,1,2,2,1,10,5,1,2,0
10395,blue,1806,blue,blue,blue,blue,red,nobody,11,3,1,2,0,1,0,0,1,0
10396,blue,2648,red,red,blue,blue,red,nobody,11,3,1,2,0,4,0,0,3,0
10397,blue,1645,blue,blue,blue,nobody,blue,nobody,9,2,0,1,0,0,0,0,0,0
10398,red,1850,red,red,red,red,red,red,5,0,0,0,0,10,2,2,3,1
10399,red,2082,red,blue,blue,blue,blue,red,8,2,1,2,0,8,1,0,1,1
10400,blue,2134,red,red,blue,blue,red,red,11,4,1,2,0,1,0,0,2,1
10401,red,2316,blue,red,red,red,red,nobody,4,0,1,0,0,11,5,1,4,0
10402,blue,1767,blue,blue,blue,nobody,blue,nobody,8,2,0,2,0,0,0,0,0,0
10403,blue,1641,red,blue,blue,blue,blue,blue,11,4,1,2,1,2,0,0,0,0
10404,blue,2202,blue,blue,blue,blue,red,nobody,10,3,1,2,0,4,0,0,1,0
10405,blue,1844,red,red,blue,blue,blue,nobody,6,1,1,1,0,7,0,0,2,0
10406,red,1387,red,red,nobody,nobody,red,nobody,2,0,0,0,0,6,0,0,1,0
10407,red,1842,red,blue,red,nobody,red,red,2,0,0,0,0,11,3,0,3,1
10408,red,1732,red,red,red,nobody,red,red,2,0,0,1,0,9,2,0,1,1
10409,blue,2324,blue,blue,blue,blue,blue,blue,9,2,1,3,1,4,0,1,1,0
10410,red,1332,red,red,nobody,nobody,red,nobody,2,0,0,0,0,3,0,0,1,0
10411,blue,1918,blue,blue,blue,blue,red,nobody,11,3,1,2,0,1,0,0,1,0
10412,blue,1905,red,red,blue,blue,red,red,11,3,1,1,0,5,0,0,2,1
10413,blue,2308,red,red,blue,red,red,nobody,6,1,1,1,0,9,1,1,3,0
10414,red,2189,red,blue,red,red,red,red,2,0,0,1,0,11,4,1,2,1
10415,red,1790,red,blue,red,red,red,red,1,0,0,0,0,11,3,1,2,1
10416,blue,1607,blue,blue,blue,nobody,blue,nobody,10,2,0,1,0,2,0,0,1,0
10417,red,2626,blue,red,red,blue,blue,blue,4,0,1,1,1,11,4,1,4,0
10418,red,917,red,red,red,nobody,nobody,nobody,0,0,0,0,0,8,2,0,0,0
10419,blue,1550,blue,blue,blue,blue,blue,nobody,11,3,1,2,0,1,0,0,0,0
10420,blue,1938,blue,red,blue,blue,blue,blue,10,1,1,3,1,1,0,0,0,0
10421,red,1654,red,red,nobody,red,blue,nobody,0,0,0,1,0,4,0,1,2,0
10422,blue,1305,blue,blue,blue,nobody,blue,blue,6,1,0,1,1,0,0,0,0,0
10423,red,1445,red,red,red,red,red,red,0,0,0,0,0,9,1,1,1,1
10424,red,1447,red,red,red,nobody,red,red,1,0,0,0,0,11,3,0,1,1
10425,blue,1906,red,red,blue,blue,blue,red,9,1,1,1,0,4,0,0,2,1
10426,red,1995,red,blue,red,red,red,red,5,0,0,1,0,8,1,1,2,1
10427,blue,2604,blue,blue,blue,blue,red,nobody,9,2,1,3,0,5,0,0,1,0
10428,red,1968,blue,red,red,red,red,blue,4,0,0,0,1,8,1,2,2,0
10429,blue,1301,red,blue,blue,nobody,blue,blue,11,2,0,2,1,0,0,0,0,0
10430,red,1450,blue,red,red,nobody,red,red,0,0,0,0,0,8,1,0,1,1
10431,red,1047,red,red,nobody,nobody,red,nobody,0,0,0,0,0,5,0,0,1,0
10432,blue,1411,blue,blue,blue,nobody,blue,blue,9,2,0,2,1,2,0,0,0,0
10433,red,2267,blue,red,blue,red,red,nobody,5,1,0,0,0,9,1,1,4,0
10434,red,2387,blue,blue,red,nobody,blue,nobody,3,0,0,1,0,6,1,0,2,0
10435,red,2467,red,blue,red,red,blue,blue,5,0,0,4,1,11,3,1,0,0
10436,blue,2288,blue,red,red,blue,blue,blue,11,3,2,2,1,7,1,0,1,0
10437,blue,1995,blue,red,blue,blue,red,nobody,10,1,1,2,0,7,0,0,2,0
10438,blue,929,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10439,red,1594,blue,red,red,nobody,red,red,1,0,0,0,0,9,1,0,3,1
10440,blue,1527,blue,red,blue,blue,blue,red,10,2,1,2,0,3,0,0,0,1
10441,blue,2049,blue,blue,blue,nobody,red,nobody,9,2,0,2,0,1,0,0,1,0
10442,red,1181,red,red,red,nobody,red,red,0,0,0,0,0,10,2,0,2,1
10443,red,2413,red,red,blue,red,blue,blue,6,1,1,3,1,9,1,1,1,0
10444,blue,2204,red,red,blue,blue,blue,nobody,10,2,1,2,0,4,0,0,1,0
10445,blue,1460,blue,red,blue,blue,blue,nobody,9,2,1,2,0,2,0,0,0,0
10446,blue,1310,blue,red,nobody,nobody,red,nobody,5,0,0,1,0,1,0,0,1,0
10447,blue,3065,blue,red,red,red,red,nobody,7,2,1,2,0,9,3,2,3,0
10448,blue,1961,red,blue,blue,blue,blue,nobody,8,1,1,2,0,3,0,0,1,0
10449,red,1261,red,red,nobody,nobody,red,red,0,0,0,0,0,4,0,0,2,1
10450,blue,1986,blue,blue,blue,nobody,blue,nobody,10,2,0,1,0,1,0,0,0,0
10451,blue,2039,blue,blue,blue,blue,blue,nobody,10,2,1,3,0,3,0,0,1,0
10452,blue,195,nobody,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10453,red,1472,red,red,red,nobody,red,red,1,0,0,0,0,10,2,0,1,1
10454,red,2259,red,blue,red,red,blue,nobody,3,0,0,3,0,10,4,2,1,0
10455,blue,1712,red,blue,blue,blue,blue,blue,11,3,1,2,1,1,0,0,0,0
10456,red,1491,blue,red,red,nobody,red,nobody,0,0,0,0,0,10,2,0,1,0
10457,red,1903,red,red,red,nobody,blue,nobody,3,0,0,1,0,9,1,0,2,0
10458,red,1614,red,red,red,nobody,blue,blue,0,0,0,1,1,11,3,0,1,0
10459,blue,1977,blue,red,red,red,red,nobody,8,1,1,0,0,8,1,1,4,0
10460,blue,2322,blue,blue,red,blue,red,nobody,10,2,2,1,0,6,1,0,3,0
10461,red,2000,blue,blue,red,blue,red,blue,5,0,1,0,1,9,3,0,4,0
10462,blue,1192,blue,blue,nobody,nobody,blue,nobody,4,0,0,1,0,1,0,0,0,0
10463,blue,1511,blue,blue,blue,nobody,red,nobody,9,2,0,0,0,1,0,0,2,0
10464,blue,1846,red,red,blue,blue,red,nobody,6,1,1,0,0,3,0,0,1,0
10465,red,2170,red,red,blue,blue,blue,nobody,5,1,2,3,0,7,1,0,0,0
10466,blue,1752,blue,blue,blue,blue,blue,blue,10,2,1,2,1,4,0,0,1,0
10467,red,2467,red,blue,blue,red,red,blue,8,2,0,3,1,7,1,1,2,0
10468,blue,2279,red,blue,blue,blue,red,nobody,11,2,2,3,0,3,0,0,2,0
10469,red,1664,blue,red,red,nobody,red,nobody,0,0,0,0,0,11,3,0,3,0
10470,red,1719,red,red,red,red,blue,nobody,3,0,0,1,0,8,1,1,2,0
10471,red,2265,blue,red,red,nobody,red,nobody,1,0,0,0,0,11,3,0,3,0
10472,blue,936,blue,blue,nobody,nobody,blue,blue,5,0,0,1,1,0,0,0,0,0
10473,blue,1609,red,blue,blue,blue,blue,blue,11,3,1,3,1,0,0,0,0,0
10474,blue,3764,blue,red,red,red,red,nobody,7,1,0,0,0,10,4,2,5,0
10475,blue,1354,blue,blue,blue,nobody,blue,blue,11,4,0,2,1,0,0,0,0,0
10476,red,2508,red,blue,red,red,red,blue,4,0,0,1,1,11,4,2,3,0
10477,blue,1821,blue,blue,nobody,nobody,blue,nobody,5,0,0,2,0,2,0,0,1,0
10478,blue,1234,blue,blue,blue,nobody,blue,blue,7,1,0,2,1,1,0,0,0,0
10479,blue,1741,red,blue,blue,blue,blue,nobody,9,2,1,2,0,2,0,0,0,0
10480,blue,1953,blue,blue,blue,blue,blue,nobody,10,2,1,2,0,5,0,0,2,0
10481,red,1784,red,red,red,red,red,red,1,0,0,1,0,10,2,1,4,1
10482,blue,2453,red,blue,blue,red,blue,red,11,4,0,2,0,5,0,1,2,1
10483,blue,2445,blue,red,blue,blue,blue,nobody,8,1,1,3,0,3,0,0,1,0
10484,blue,1840,blue,red,blue,blue,red,blue,11,3,1,1,1,3,0,0,2,0
10485,blue,2014,blue,blue,blue,blue,blue,nobody,9,2,1,4,0,3,0,0,0,0
10486,red,1640,red,red,red,red,red,blue,3,0,0,1,1,10,2,1,2,0
10487,blue,2180,blue,blue,blue,blue,blue,blue,9,2,1,3,1,4,1,0,0,0
10488,red,2301,red,red,red,red,red,nobody,4,0,0,0,0,11,3,1,3,0
10489,red,2346,red,red,red,blue,red,nobody,5,0,1,0,0,11,4,0,4,0
10490,blue,1167,red,blue,blue,nobody,blue,blue,5,1,0,1,1,0,0,0,0,0
10491,red,1857,blue,red,red,nobody,blue,nobody,1,0,0,2,0,10,1,0,0,0
10492,blue,2074,blue,blue,blue,blue,blue,blue,11,3,1,4,1,3,0,0,0,0
10493,blue,2139,blue,blue,blue,blue,blue,nobody,11,3,1,3,0,1,0,0,0,0
10494,blue,1744,blue,blue,blue,blue,blue,nobody,11,3,1,1,0,0,0,0,1,0
10495,red,1618,red,red,red,blue,red,red,1,0,1,0,0,10,2,0,2,1
10496,red,1460,red,blue,red,red,red,red,1,0,0,0,0,9,2,1,2,1
10497,blue,1259,red,blue,nobody,nobody,blue,blue,4,0,0,1,1,0,0,0,0,0
10498,red,1593,red,red,nobody,red,blue,red,1,0,0,2,0,8,0,1,1,1
10499,blue,2418,red,red,blue,blue,blue,nobody,9,1,1,4,0,4,0,1,0,0
10500,blue,2159,red,blue,blue,blue,red,blue,7,1,1,0,1,3,0,0,3,0
10501,blue,1697,blue,blue,nobody,nobody,red,nobody,6,0,0,0,0,2,0,0,1,0
10502,red,1288,red,red,nobody,nobody,red,red,1,0,0,0,0,4,0,0,2,1
10503,red,1644,blue,red,red,red,blue,red,2,0,0,2,0,8,1,1,1,1
10504,blue,2473,blue,red,blue,red,red,blue,8,1,0,2,1,7,0,1,3,0
10505,blue,1910,red,blue,blue,blue,blue,blue,11,4,1,4,1,4,0,0,0,0
10506,red,1915,blue,blue,red,blue,red,blue,5,0,1,0,1,8,2,0,3,0
10507,blue,1413,blue,blue,blue,blue,blue,nobody,9,1,1,1,0,1,0,0,0,0
10508,blue,911,blue,blue,nobody,nobody,blue,blue,4,0,0,1,1,0,0,0,0,0
10509,red,2171,blue,blue,blue,red,blue,nobody,6,1,0,3,0,7,1,1,0,0
10510,blue,1122,blue,blue,blue,nobody,blue,blue,11,3,0,2,1,0,0,0,0,0
10511,red,2296,blue,red,red,nobody,blue,nobody,4,0,0,1,0,10,3,0,4,0
10512,blue,1971,red,blue,blue,blue,blue,blue,10,2,1,4,1,1,0,0,0,0
10513,red,2147,red,red,red,nobody,blue,nobody,3,0,0,2,0,10,3,0,2,0
10514,red,2320,red,red,red,nobody,red,red,4,0,0,0,0,10,2,0,5,1
10515,blue,1301,red,blue,blue,nobody,blue,blue,9,2,0,1,1,1,0,0,0,0
10516,blue,1381,blue,blue,nobody,nobody,nobody,nobody,4,0,0,0,0,0,0,0,0,0
10517,red,1840,red,red,red,red,red,nobody,2,0,0,1,0,11,4,1,2,0
10518,blue,2375,blue,red,red,red,red,red,11,3,1,2,0,6,1,1,3,1
10519,red,1532,red,red,nobody,nobody,blue,nobody,1,0,0,1,0,4,0,0,1,0
10520,red,1729,red,red,red,nobody,red,nobody,1,0,0,0,0,8,2,0,2,0
10521,red,2542,red,red,red,red,red,nobody,4,0,0,1,0,10,2,1,3,0
10522,blue,2337,blue,red,red,blue,blue,red,10,1,1,3,0,6,1,0,1,1
10523,blue,1355,red,blue,nobody,nobody,blue,blue,5,0,0,1,1,2,0,0,0,0
10524,blue,2051,blue,blue,blue,blue,blue,nobody,11,3,1,2,0,2,0,0,1,0
10525,blue,1128,blue,blue,blue,nobody,blue,blue,8,1,0,2,1,0,0,0,0,0
10526,blue,1780,blue,blue,blue,red,red,nobody,9,3,0,2,0,6,0,1,1,0
10527,red,2558,blue,blue,blue,blue,red,blue,7,1,1,1,1,9,2,1,3,0
10528,red,2314,red,red,red,red,blue,nobody,4,1,0,1,0,9,3,1,2,0
10529,red,2171,blue,red,red,red,blue,nobody,2,0,0,1,0,11,4,1,3,0
10530,blue,2166,red,blue,blue,blue,blue,red,9,1,2,1,0,5,0,0,3,1
10531,red,1760,blue,red,red,nobody,blue,nobody,1,0,0,1,0,11,2,0,2,0
10532,blue,1909,blue,blue,blue,blue,red,blue,9,2,1,2,1,3,0,0,1,0
10533,blue,1902,red,blue,blue,nobody,blue,nobody,10,3,0,3,0,1,0,0,0,0
10534,blue,2288,red,red,blue,blue,red,red,11,3,1,2,0,6,0,0,1,1
10535,blue,1714,red,blue,blue,blue,red,blue,9,1,1,1,1,3,0,0,2,0
10536,red,2372,red,red,red,red,blue,nobody,1,0,0,1,0,9,3,1,3,0
10537,blue,1813,blue,blue,blue,blue,blue,nobody,11,3,1,3,0,3,0,0,0,0
10538,blue,1517,red,blue,blue,blue,blue,blue,10,3,1,3,1,0,0,0,0,0
10539,red,1425,red,red,nobody,nobody,red,nobody,2,0,0,0,0,4,0,0,3,0
10540,red,1591,red,red,red,red,red,red,0,0,0,0,0,11,3,1,3,1
10541,red,2100,red,red,red,nobody,red,nobody,5,0,0,0,0,11,5,0,3,0
10542,blue,1429,blue,blue,blue,nobody,nobody,blue,11,2,0,0,1,0,0,0,0,0
10543,blue,2388,blue,red,nobody,blue,blue,blue,6,0,1,3,1,1,0,0,1,0
10544,red,1696,red,red,red,red,red,nobody,0,0,0,0,0,11,3,1,3,0
10545,red,1830,red,blue,red,blue,red,red,2,0,1,1,0,10,2,1,2,1
10546,red,1478,blue,red,nobody,nobody,red,nobody,1,0,0,0,0,6,0,0,2,0
10547,red,2182,blue,blue,red,red,blue,nobody,3,0,0,1,0,9,2,1,3,0
10548,blue,1631,red,blue,blue,blue,red,blue,11,3,1,0,1,0,0,0,2,0
10549,red,1509,red,red,red,red,blue,nobody,2,0,0,2,0,9,1,1,0,0
10550,blue,1681,red,blue,blue,nobody,blue,nobody,10,4,0,1,0,4,0,0,1,0
10551,red,2737,blue,red,blue,red,red,nobody,6,1,0,2,0,9,1,3,3,0
10552,blue,1185,blue,blue,blue,nobody,blue,nobody,11,3,0,1,0,1,0,0,0,0
10553,blue,1517,blue,blue,blue,nobody,blue,nobody,11,3,0,2,0,0,0,0,0,0
10554,blue,1792,blue,blue,blue,red,blue,red,10,2,0,3,0,2,0,1,1,1
10555,red,1212,blue,red,red,nobody,red,red,0,0,0,0,0,9,1,0,1,1
10556,blue,2211,red,blue,red,blue,blue,blue,10,2,1,2,1,6,1,0,2,0
10557,blue,1349,blue,blue,nobody,nobody,blue,blue,6,0,0,2,1,1,0,0,0,0
10558,blue,1183,blue,blue,blue,nobody,blue,blue,11,2,0,2,1,0,0,0,0,0
10559,red,1641,red,blue,red,red,red,blue,4,0,0,0,1,8,1,1,2,0
10560,blue,2554,red,red,red,red,blue,blue,10,1,1,3,1,8,4,2,2,0
10561,blue,1533,blue,blue,blue,nobody,blue,red,11,3,0,3,0,2,0,0,0,1
10562,red,1969,red,red,red,red,blue,red,3,0,0,2,0,9,2,1,1,1
10563,blue,1613,blue,red,blue,blue,blue,nobody,11,2,1,1,0,2,0,0,0,0
10564,red,1939,blue,red,red,nobody,red,red,2,0,0,0,0,11,3,0,4,1
10565,blue,205,nobody,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10566,blue,1595,blue,blue,blue,blue,blue,blue,9,3,1,2,1,2,0,0,0,0
10567,blue,1412,blue,blue,blue,blue,blue,blue,8,1,1,2,1,0,0,0,0,0
10568,blue,958,red,blue,nobody,nobody,nobody,nobody,2,0,0,0,0,0,0,0,0,0
10569,blue,1873,red,blue,blue,blue,red,nobody,11,3,1,2,0,2,0,0,1,0
10570,red,1427,red,red,red,nobody,red,red,0,0,0,0,0,11,2,0,2,1
10571,red,2457,blue,red,red,red,blue,red,4,0,0,3,0,11,3,2,2,1
10572,red,1221,red,red,nobody,nobody,red,red,0,0,0,0,0,6,0,0,1,1
10573,blue,1796,red,red,blue,nobody,red,red,9,2,0,0,0,3,0,0,2,1
10574,blue,1775,blue,red,blue,blue,red,nobody,10,2,1,1,0,5,0,0,1,0
10575,blue,1229,blue,blue,nobody,nobody,blue,blue,3,0,0,2,1,0,0,0,0,0
10576,red,1947,blue,red,red,red,red,nobody,2,0,0,1,0,9,2,1,3,0
10577,red,1916,red,red,red,nobody,blue,blue,1,0,0,2,1,9,1,0,0,0
10578,red,2758,blue,blue,red,blue,blue,nobody,5,0,1,3,0,8,1,1,2,0
10579,red,1746,red,red,red,red,red,nobody,2,0,0,0,0,11,3,1,4,0
10580,blue,1134,blue,blue,blue,nobody,blue,nobody,6,1,0,1,0,1,0,0,0,0
10581,red,1779,red,red,red,red,red,red,0,0,0,0,0,11,3,1,3,1
10582,red,1461,red,blue,red,nobody,red,nobody,1,0,0,0,0,11,4,0,2,0
10583,red,1787,red,blue,red,nobody,red,nobody,2,0,0,1,0,9,3,0,2,0
10584,blue,204,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10585,red,2120,red,blue,red,red,blue,nobody,3,0,0,2,0,7,1,1,1,0
10586,blue,2259,blue,blue,blue,blue,red,nobody,11,4,2,3,0,1,0,0,1,0
10587,red,2059,red,red,red,red,red,red,2,0,0,1,0,10,3,2,4,1
10588,blue,2417,red,red,blue,blue,red,blue,10,1,1,2,1,4,0,0,1,0
10589,blue,1983,blue,blue,blue,blue,blue,nobody,9,2,1,2,0,1,0,0,0,0
10590,red,1700,blue,red,red,red,red,red,3,0,0,1,0,7,1,1,2,1
10591,red,2705,red,red,blue,red,blue,red,8,1,0,3,0,10,3,2,1,1
10592,red,1076,blue,red,red,nobody,red,red,0,0,0,0,0,7,1,0,2,1
10593,red,1767,red,red,red,red,red,nobody,0,0,0,0,0,11,4,1,3,0
10594,red,1515,red,red,red,red,red,red,0,0,0,0,0,10,2,1,3,1
10595,red,2050,blue,red,red,nobody,blue,nobody,1,0,0,2,0,9,1,0,1,0
10596,red,1191,blue,blue,red,nobody,red,red,1,0,0,0,0,8,1,0,1,1
10597,blue,1773,blue,red,nobody,nobody,blue,nobody,5,0,0,1,0,2,0,0,2,0
10598,blue,1554,blue,red,blue,blue,blue,blue,9,1,1,2,1,2,0,0,0,0
10599,red,1788,red,red,red,red,red,red,1,0,0,0,0,9,1,1,3,1
10600,red,1627,blue,red,red,red,blue,nobody,2,0,0,1,0,11,3,1,1,0
10601,blue,1353,red,blue,blue,nobody,red,nobody,11,3,0,1,0,1,0,0,1,0
10602,red,1672,red,red,red,nobody,red,red,3,0,0,1,0,8,2,0,2,1
10603,blue,1650,red,red,blue,nobody,red,red,9,2,0,2,0,1,0,0,1,1
10604,blue,2868,blue,blue,blue,blue,blue,nobody,9,1,1,3,0,5,0,0,2,0
10605,red,1486,blue,red,red,nobody,red,red,2,0,0,0,0,8,1,0,3,1
10606,blue,1920,blue,blue,blue,nobody,blue,nobody,11,2,0,3,0,0,0,0,0,0
10607,blue,1751,blue,red,blue,nobody,blue,nobody,9,1,0,1,0,3,0,0,2,0
10608,red,2466,blue,blue,red,red,red,nobody,4,0,0,1,0,9,1,1,4,0
10609,blue,1944,red,blue,blue,blue,red,blue,11,4,2,2,1,1,0,0,1,0
10610,red,2233,red,blue,red,red,red,red,5,0,0,2,0,11,4,2,3,1
10611,red,1896,blue,red,red,blue,red,blue,3,0,1,1,1,11,2,0,3,0
10612,red,2214,red,blue,red,blue,red,nobody,4,0,1,3,0,9,2,1,1,0
10613,red,2185,blue,red,red,red,red,nobody,3,0,0,0,0,11,4,1,4,0
10614,red,1741,blue,blue,red,nobody,red,nobody,3,0,0,0,0,8,2,0,2,0
10615,red,2589,red,red,red,blue,blue,nobody,2,0,1,2,0,8,2,0,3,0
10616,blue,1007,blue,blue,nobody,nobody,blue,blue,3,0,0,1,1,0,0,0,0,0
10617,red,1724,red,blue,red,red,red,blue,4,0,0,0,1,8,1,1,2,0
10618,blue,1350,blue,red,blue,nobody,blue,nobody,6,1,0,1,0,4,0,0,1,0
10619,red,2422,blue,blue,red,red,red,nobody,3,0,0,1,0,9,1,2,4,0
10620,red,1305,red,red,nobody,nobody,red,red,0,0,0,0,0,6,0,0,2,1
10621,blue,2269,red,red,red,red,blue,red,9,1,0,1,0,8,1,2,3,1
10622,blue,1644,red,blue,blue,blue,blue,blue,11,3,1,1,1,1,0,0,1,0
10623,blue,1832,red,blue,blue,blue,blue,nobody,10,2,1,1,0,3,0,0,2,0
10624,red,1777,red,blue,red,nobody,blue,red,2,0,0,3,0,9,1,0,1,1
10625,red,2153,red,red,red,red,blue,nobody,6,0,0,2,0,8,2,2,2,0
10626,blue,205,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10627,blue,193,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
10628,red,2332,red,blue,red,blue,red,nobody,4,0,1,0,0,9,3,1,4,0
10629,blue,2423,red,blue,blue,blue,red,blue,10,3,1,3,1,1,0,0,1,0
10630,blue,1526,blue,blue,nobody,nobody,blue,nobody,6,0,0,2,0,0,0,0,0,0
10631,red,1779,red,red,red,nobody,red,nobody,0,0,0,0,0,11,3,0,4,0
10632,blue,1933,red,blue,blue,blue,blue,blue,9,2,1,4,1,3,0,0,0,0
10633,red,1772,red,red,nobody,nobody,blue,red,2,0,0,1,0,3,0,0,3,1
10634,blue,2471,red,blue,blue,blue,blue,blue,11,3,2,4,1,3,0,0,1,0
10635,blue,1627,blue,blue,blue,nobody,blue,blue,10,2,0,2,1,0,0,0,0,0
10636,red,1886,red,red,red,red,blue,red,2,0,0,2,0,10,2,1,1,1
10637,red,2075,blue,red,red,red,blue,blue,4,0,0,1,1,10,3,1,1,0
10638,red,2757,red,red,red,red,blue,nobody,5,0,0,2,0,9,1,1,1,0
10639,blue,1677,blue,blue,blue,blue,blue,nobody,7,1,1,2,0,1,0,0,0,0
10640,red,1989,blue,blue,nobody,nobody,red,nobody,3,0,0,0,0,4,0,0,4,0
10641,red,1955,red,blue,red,nobody,red,nobody,3,0,0,0,0,10,2,0,2,0
10642,blue,1440,blue,blue,nobody,nobody,red,nobody,5,0,0,0,0,0,0,0,1,0
10643,red,1653,blue,blue,red,nobody,blue,nobody,2,0,0,1,0,11,3,0,1,0
10644,blue,2128,blue,blue,blue,red,blue,blue,11,3,0,4,1,3,0,1,0,0
10645,blue,1483,red,blue,blue,nobody,red,nobody,7,1,0,1,0,1,0,0,2,0
10646,blue,1730,blue,red,blue,blue,blue,blue,11,3,1,3,1,4,0,0,0,0
10647,blue,1399,red,blue,blue,nobody,blue,blue,9,2,0,1,1,0,0,0,1,0
10648,red,2665,red,red,red,red,blue,red,5,0,0,3,0,10,2,2,2,1
10649,red,2469,red,blue,red,nobody,blue,nobody,2,0,0,2,0,10,3,0,1,0
10650,red,2332,red,blue,red,blue,blue,nobody,4,0,1,1,0,11,4,1,4,0
10651,red,2330,blue,blue,red,blue,blue,nobody,3,0,1,2,0,9,2,0,2,0
10652,red,2264,red,blue,blue,red,blue,nobody,9,2,0,1,0,8,1,2,3,0
10653,blue,1640,blue,blue,blue,nobody,blue,blue,9,1,0,2,1,1,0,0,0,0
10654,blue,1727,blue,blue,blue,blue,blue,red,10,1,1,2,0,2,0,0,0,1
10655,red,2410,red,red,red,red,red,blue,3,0,0,2,1,11,7,2,3,0
10656,red,2103,red,blue,blue,blue,blue,blue,10,2,1,4,1,7,1,0,0,0
10657,red,1786,blue,red,red,red,red,red,3,0,0,0,0,11,2,1,4,1
10658,red,1613,blue,blue,red,red,blue,nobody,4,0,0,2,0,6,1,1,1,0
10659,blue,1619,red,blue,blue,blue,blue,nobody,8,1,1,1,0,2,0,0,0,0
10660,blue,1811,blue,red,blue,red,red,blue,9,1,0,2,1,3,0,1,1,0
10661,red,1524,blue,red,nobody,nobody,red,red,1,0,0,0,0,4,0,0,2,1
10662,red,1575,blue,blue,red,red,red,blue,3,0,0,0,1,10,2,1,2,0
10663,blue,1746,blue,blue,blue,blue,blue,blue,11,3,1,3,1,0,0,0,0,0
10664,blue,2052,blue,blue,blue,nobody,red,nobody,10,3,0,2,0,2,0,0,2,0
10665,red,1718,blue,red,red,nobody,blue,blue,4,0,0,1,1,10,2,0,0,0
10666,red,2240,blue,red,red,red,red,red,2,0,0,0,0,9,1,1,3,1
10667,blue,1596,blue,red,blue,blue,red,nobody,8,1,1,1,0,3,0,0,1,0
10668,blue,1261,blue,blue,blue,nobody,blue,nobody,11,3,0,2,0,2,0,0,0,0
10669,blue,1787,blue,red,blue,blue,red,blue,7,1,2,1,1,5,0,0,2,0
10670,red,1921,blue,red,red,nobody,red,red,1,0,0,0,0,10,2,0,3,1
10671,red,1982,blue,red,red,red,red,nobody,0,0,0,0,0,11,3,1,3,0
